Flow ID,Src IP,Dst IP,Src Port,Dst Port,Protocol,Label,is_anomaly,anomaly_score
175.45.176.2-149.171.126.19-21248-25-6,175.45.176.2,149.171.126.19,21248,25,6,Exploits,True,-0.1876689267716879
59.166.0.9-149.171.126.3-29932-6881-6,59.166.0.9,149.171.126.3,29932,6881,6,Benign,True,-0.18751448085730538
175.45.176.0-149.171.126.12-31066-25-6,175.45.176.0,149.171.126.12,31066,25,6,Exploits,True,-0.18739123579700634
175.45.176.0-149.171.126.15-64402-7002-6,175.45.176.0,149.171.126.15,64402,7002,6,Generic,True,-0.18722067244091245
175.45.176.2-149.171.126.13-16102-7002-6,175.45.176.2,149.171.126.13,16102,7002,6,Generic,True,-0.18387408465078703
59.166.0.9-149.171.126.5-18940-6881-6,59.166.0.9,149.171.126.5,18940,6881,6,Benign,True,-0.18355594560730693
59.166.0.4-149.171.126.5-43667-6881-6,59.166.0.4,149.171.126.5,43667,6881,6,Benign,True,-0.18250059747331504
175.45.176.0-149.171.126.15-63177-7002-6,175.45.176.0,149.171.126.15,63177,7002,6,Generic,True,-0.18196210130427537
59.166.0.6-149.171.126.9-8187-6881-6,59.166.0.6,149.171.126.9,8187,6881,6,Benign,True,-0.1818797354956122
175.45.176.2-149.171.126.17-45425-7002-6,175.45.176.2,149.171.126.17,45425,7002,6,Generic,True,-0.18185485527453904
175.45.176.2-149.171.126.17-39097-7002-6,175.45.176.2,149.171.126.17,39097,7002,6,Generic,True,-0.17926901363894454
175.45.176.1-149.171.126.12-65345-445-6,175.45.176.1,149.171.126.12,65345,445,6,Fuzzers,True,-0.17713257848024988
175.45.176.1-149.171.126.11-6694-179-6,175.45.176.1,149.171.126.11,6694,179,6,Fuzzers,True,-0.17593896231301676
175.45.176.2-149.171.126.13-18495-179-6,175.45.176.2,149.171.126.13,18495,179,6,Fuzzers,True,-0.17592081940259396
175.45.176.0-149.171.126.14-9959-445-6,175.45.176.0,149.171.126.14,9959,445,6,Fuzzers,True,-0.17563905583650308
175.45.176.1-149.171.126.10-63417-7002-6,175.45.176.1,149.171.126.10,63417,7002,6,Generic,True,-0.17558929045057736
175.45.176.3-149.171.126.17-2015-25-6,175.45.176.3,149.171.126.17,2015,25,6,Exploits,True,-0.17503740566250525
175.45.176.2-149.171.126.17-37882-7002-6,175.45.176.2,149.171.126.17,37882,7002,6,Generic,True,-0.1747392198021911
59.166.0.2-149.171.126.6-39999-6881-6,59.166.0.2,149.171.126.6,39999,6881,6,Benign,True,-0.17446333221820232
175.45.176.3-149.171.126.13-37932-25-6,175.45.176.3,149.171.126.13,37932,25,6,DoS,True,-0.17410595737699475
175.45.176.3-149.171.126.19-63605-445-6,175.45.176.3,149.171.126.19,63605,445,6,Fuzzers,True,-0.17407946031167076
175.45.176.1-149.171.126.10-63539-7002-6,175.45.176.1,149.171.126.10,63539,7002,6,Generic,True,-0.173921452207899
59.166.0.4-149.171.126.0-28528-6881-6,59.166.0.4,149.171.126.0,28528,6881,6,Benign,True,-0.17305796467494283
59.166.0.5-149.171.126.1-39485-6881-6,59.166.0.5,149.171.126.1,39485,6881,6,Benign,True,-0.1729985677958652
175.45.176.1-149.171.126.11-26962-445-6,175.45.176.1,149.171.126.11,26962,445,6,Fuzzers,True,-0.17284196815665398
175.45.176.1-149.171.126.11-6485-179-6,175.45.176.1,149.171.126.11,6485,179,6,Fuzzers,True,-0.17240345142751023
175.45.176.1-149.171.126.19-57082-514-17,175.45.176.1,149.171.126.19,57082,514,17,Fuzzers,True,-0.17235270454680318
59.166.0.1-149.171.126.0-19491-6881-6,59.166.0.1,149.171.126.0,19491,6881,6,Benign,True,-0.17233201655941133
59.166.0.0-149.171.126.0-47436-6881-6,59.166.0.0,149.171.126.0,47436,6881,6,Benign,True,-0.17168647582906682
175.45.176.3-149.171.126.16-57739-445-6,175.45.176.3,149.171.126.16,57739,445,6,Fuzzers,True,-0.1712512866620115
175.45.176.0-149.171.126.13-61542-7002-6,175.45.176.0,149.171.126.13,61542,7002,6,Generic,True,-0.17030458133130966
59.166.0.8-149.171.126.7-34370-6881-6,59.166.0.8,149.171.126.7,34370,6881,6,Benign,True,-0.16925663811750935
175.45.176.2-149.171.126.19-31006-5060-17,175.45.176.2,149.171.126.19,31006,5060,17,DoS,True,-0.16767795606290692
175.45.176.1-149.171.126.19-48055-80-6,175.45.176.1,149.171.126.19,48055,80,6,DoS,True,-0.1670828485915623
175.45.176.1-149.171.126.17-22078-179-6,175.45.176.1,149.171.126.17,22078,179,6,Fuzzers,True,-0.16597023676152933
175.45.176.3-149.171.126.19-65367-25-6,175.45.176.3,149.171.126.19,65367,25,6,DoS,True,-0.16553085860833372
175.45.176.3-149.171.126.18-26481-5060-17,175.45.176.3,149.171.126.18,26481,5060,17,DoS,True,-0.1645514083217393
59.166.0.3-149.171.126.6-61003-6881-6,59.166.0.3,149.171.126.6,61003,6881,6,Benign,True,-0.16454303145782523
175.45.176.0-149.171.126.10-13727-179-6,175.45.176.0,149.171.126.10,13727,179,6,Fuzzers,True,-0.16453563920646652
175.45.176.3-149.171.126.19-43466-143-6,175.45.176.3,149.171.126.19,43466,143,6,DoS,True,-0.16439516651718966
175.45.176.2-149.171.126.17-36226-7002-6,175.45.176.2,149.171.126.17,36226,7002,6,Generic,True,-0.16394692364998542
59.166.0.3-149.171.126.4-45190-6881-6,59.166.0.3,149.171.126.4,45190,6881,6,Benign,True,-0.16338676422296827
59.166.0.6-149.171.126.2-62849-6881-6,59.166.0.6,149.171.126.2,62849,6881,6,Benign,True,-0.1633613652525494
175.45.176.1-149.171.126.11-52137-179-6,175.45.176.1,149.171.126.11,52137,179,6,Fuzzers,True,-0.16263019518123079
59.166.0.6-149.171.126.1-42255-6881-6,59.166.0.6,149.171.126.1,42255,6881,6,Benign,True,-0.16232301570396712
175.45.176.1-149.171.126.15-20591-25-6,175.45.176.1,149.171.126.15,20591,25,6,Exploits,True,-0.16191916021617392
175.45.176.1-149.171.126.15-64575-445-6,175.45.176.1,149.171.126.15,64575,445,6,Fuzzers,True,-0.1617737680348894
59.166.0.2-149.171.126.6-51535-6881-6,59.166.0.2,149.171.126.6,51535,6881,6,Benign,True,-0.1613997651213508
175.45.176.0-149.171.126.14-20849-80-6,175.45.176.0,149.171.126.14,20849,80,6,Generic,True,-0.16089415359208636
175.45.176.1-149.171.126.15-64678-25-6,175.45.176.1,149.171.126.15,64678,25,6,Exploits,True,-0.16022520126761264
175.45.176.2-149.171.126.10-9797-25-6,175.45.176.2,149.171.126.10,9797,25,6,DoS,True,-0.16016926161183664
175.45.176.2-149.171.126.13-14461-5060-17,175.45.176.2,149.171.126.13,14461,5060,17,DoS,True,-0.1599514672157767
175.45.176.1-149.171.126.13-40336-179-6,175.45.176.1,149.171.126.13,40336,179,6,Fuzzers,True,-0.15919858289010191
175.45.176.3-149.171.126.16-1039-445-6,175.45.176.3,149.171.126.16,1039,445,6,Fuzzers,True,-0.15682623687137254
175.45.176.2-149.171.126.13-24838-25-6,175.45.176.2,149.171.126.13,24838,25,6,Exploits,True,-0.1559666523363198
175.45.176.1-149.171.126.15-1767-179-6,175.45.176.1,149.171.126.15,1767,179,6,Fuzzers,True,-0.15580706681823453
175.45.176.2-149.171.126.13-58006-25-6,175.45.176.2,149.171.126.13,58006,25,6,Exploits,True,-0.155689718132614
175.45.176.2-149.171.126.15-24216-445-6,175.45.176.2,149.171.126.15,24216,445,6,Fuzzers,True,-0.15553009118230032
59.166.0.0-149.171.126.9-36042-6881-6,59.166.0.0,149.171.126.9,36042,6881,6,Benign,True,-0.15341012141513766
175.45.176.2-149.171.126.11-50705-520-17,175.45.176.2,149.171.126.11,50705,520,17,Fuzzers,True,-0.15329746418481982
175.45.176.0-149.171.126.11-1845-80-6,175.45.176.0,149.171.126.11,1845,80,6,Generic,True,-0.1529914259750199
59.166.0.6-149.171.126.3-9003-80-6,59.166.0.6,149.171.126.3,9003,80,6,Benign,True,-0.15281009607910045
175.45.176.3-149.171.126.16-57292-135-6,175.45.176.3,149.171.126.16,57292,135,6,Fuzzers,True,-0.1521131691742046
175.45.176.2-149.171.126.13-52067-80-6,175.45.176.2,149.171.126.13,52067,80,6,DoS,True,-0.15142772960241135
149.171.126.5-59.166.0.9-80-55073-6,149.171.126.5,59.166.0.9,80,55073,6,Benign,True,-0.15048470739838804
59.166.0.6-149.171.126.2-21630-6881-6,59.166.0.6,149.171.126.2,21630,6881,6,Benign,True,-0.1503796011473887
175.45.176.2-149.171.126.11-44789-179-6,175.45.176.2,149.171.126.11,44789,179,6,Fuzzers,True,-0.15035946109709364
175.45.176.0-149.171.126.11-57928-80-6,175.45.176.0,149.171.126.11,57928,80,6,DoS,True,-0.15015377740624547
175.45.176.2-149.171.126.13-14461-5060-17,175.45.176.2,149.171.126.13,14461,5060,17,DoS,True,-0.15007509939444363
175.45.176.1-149.171.126.18-44829-80-6,175.45.176.1,149.171.126.18,44829,80,6,Generic,True,-0.14983316637869137
59.166.0.4-149.171.126.8-57643-80-6,59.166.0.4,149.171.126.8,57643,80,6,Benign,True,-0.1492388934078417
175.45.176.3-149.171.126.10-60613-80-6,175.45.176.3,149.171.126.10,60613,80,6,Generic,True,-0.14916993164015513
175.45.176.1-149.171.126.15-58522-179-6,175.45.176.1,149.171.126.15,58522,179,6,Fuzzers,True,-0.1489544431136638
175.45.176.1-149.171.126.14-35072-179-6,175.45.176.1,149.171.126.14,35072,179,6,Fuzzers,True,-0.14850613624611897
175.45.176.0-149.171.126.12-17972-80-6,175.45.176.0,149.171.126.12,17972,80,6,Exploits,True,-0.14834182966769827
175.45.176.0-149.171.126.11-8047-80-6,175.45.176.0,149.171.126.11,8047,80,6,Generic,True,-0.14817838016248208
175.45.176.0-149.171.126.14-54217-445-6,175.45.176.0,149.171.126.14,54217,445,6,Fuzzers,True,-0.14709302910719757
175.45.176.2-149.171.126.10-50449-179-6,175.45.176.2,149.171.126.10,50449,179,6,Fuzzers,True,-0.1468793834563904
175.45.176.0-149.171.126.14-37904-80-6,175.45.176.0,149.171.126.14,37904,80,6,Generic,True,-0.14650102910995322
59.166.0.7-149.171.126.1-2546-6881-6,59.166.0.7,149.171.126.1,2546,6881,6,Benign,True,-0.1459473345315223
175.45.176.3-149.171.126.12-52461-80-6,175.45.176.3,149.171.126.12,52461,80,6,Generic,True,-0.14526993518146736
175.45.176.1-149.171.126.12-12817-80-6,175.45.176.1,149.171.126.12,12817,80,6,Generic,True,-0.14500868356252583
175.45.176.1-149.171.126.18-8215-80-6,175.45.176.1,149.171.126.18,8215,80,6,DoS,True,-0.14460317478520612
59.166.0.7-149.171.126.6-33811-6881-6,59.166.0.7,149.171.126.6,33811,6881,6,Benign,True,-0.14452122574825077
175.45.176.0-149.171.126.10-1051-1723-6,175.45.176.0,149.171.126.10,1051,1723,6,Fuzzers,True,-0.14410672933060675
175.45.176.0-149.171.126.12-1025-179-6,175.45.176.0,149.171.126.12,1025,179,6,Fuzzers,True,-0.1437455396099382
175.45.176.0-149.171.126.11-22941-80-6,175.45.176.0,149.171.126.11,22941,80,6,Generic,True,-0.1436373327019823
175.45.176.1-149.171.126.13-15741-80-6,175.45.176.1,149.171.126.13,15741,80,6,DoS,True,-0.1433888704230174
59.166.0.9-149.171.126.2-35625-6881-6,59.166.0.9,149.171.126.2,35625,6881,6,Benign,True,-0.14285345262397608
175.45.176.3-149.171.126.14-51515-179-6,175.45.176.3,149.171.126.14,51515,179,6,Fuzzers,True,-0.14172296501981851
175.45.176.1-149.171.126.10-63991-7002-6,175.45.176.1,149.171.126.10,63991,7002,6,Generic,True,-0.14140936617220046
175.45.176.2-149.171.126.18-1971-135-6,175.45.176.2,149.171.126.18,1971,135,6,Fuzzers,True,-0.14096756341887828
175.45.176.1-149.171.126.12-5491-80-6,175.45.176.1,149.171.126.12,5491,80,6,Generic,True,-0.14070384600869434
175.45.176.1-149.171.126.17-46464-389-6,175.45.176.1,149.171.126.17,46464,389,6,Exploits,True,-0.14053130040232154
175.45.176.2-149.171.126.16-60592-520-17,175.45.176.2,149.171.126.16,60592,520,17,Fuzzers,True,-0.14040428946920247
175.45.176.3-149.171.126.14-3046-179-6,175.45.176.3,149.171.126.14,3046,179,6,Fuzzers,True,-0.13976297809246252
175.45.176.1-149.171.126.18-17740-25-6,175.45.176.1,149.171.126.18,17740,25,6,DoS,True,-0.13904864507720494
175.45.176.0-149.171.126.11-18660-80-6,175.45.176.0,149.171.126.11,18660,80,6,Generic,True,-0.1388684712830658
175.45.176.2-149.171.126.12-55071-514-17,175.45.176.2,149.171.126.12,55071,514,17,Fuzzers,True,-0.13794347314592215
175.45.176.0-149.171.126.12-1043-53-17,175.45.176.0,149.171.126.12,1043,53,17,Generic,True,-0.13681016955041714
59.166.0.0-149.171.126.8-36661-6881-6,59.166.0.0,149.171.126.8,36661,6881,6,Benign,True,-0.13677302045018203
175.45.176.1-149.171.126.18-38314-80-6,175.45.176.1,149.171.126.18,38314,80,6,Generic,True,-0.13645201826039932
175.45.176.2-149.171.126.10-48043-80-6,175.45.176.2,149.171.126.10,48043,80,6,DoS,True,-0.13571784057026648
175.45.176.2-149.171.126.13-14035-548-6,175.45.176.2,149.171.126.13,14035,548,6,DoS,True,-0.13295399353972592
59.166.0.6-149.171.126.1-16838-6881-6,59.166.0.6,149.171.126.1,16838,6881,6,Benign,True,-0.13246791312288764
175.45.176.2-149.171.126.13-27902-80-6,175.45.176.2,149.171.126.13,27902,80,6,Generic,True,-0.1320392351830877
175.45.176.0-149.171.126.15-13608-80-6,175.45.176.0,149.171.126.15,13608,80,6,DoS,True,-0.13189438622254634
175.45.176.2-149.171.126.18-42414-80-6,175.45.176.2,149.171.126.18,42414,80,6,DoS,True,-0.1318502289105411
175.45.176.0-149.171.126.18-24217-54444-6,175.45.176.0,149.171.126.18,24217,54444,6,DoS,True,-0.13183785716150742
175.45.176.3-149.171.126.15-22403-25-6,175.45.176.3,149.171.126.15,22403,25,6,Exploits,True,-0.13124179180938023
59.166.0.9-149.171.126.9-58560-6881-6,59.166.0.9,149.171.126.9,58560,6881,6,Benign,True,-0.13065478143837617
59.166.0.8-149.171.126.0-3531-6881-6,59.166.0.8,149.171.126.0,3531,6881,6,Benign,True,-0.1305653239232727
59.166.0.5-149.171.126.3-43093-80-6,59.166.0.5,149.171.126.3,43093,80,6,Benign,True,-0.12959300337690705
175.45.176.1-149.171.126.10-11903-80-6,175.45.176.1,149.171.126.10,11903,80,6,Generic,True,-0.12905883290512588
175.45.176.1-149.171.126.18-31104-5060-17,175.45.176.1,149.171.126.18,31104,5060,17,DoS,True,-0.12879505018563686
175.45.176.1-149.171.126.13-54884-80-6,175.45.176.1,149.171.126.13,54884,80,6,Generic,True,-0.12855892139515446
175.45.176.3-149.171.126.15-47439-53-17,175.45.176.3,149.171.126.15,47439,53,17,Generic,True,-0.1281878737600327
59.166.0.2-149.171.126.3-64345-6881-6,59.166.0.2,149.171.126.3,64345,6881,6,Benign,True,-0.12790301205910137
175.45.176.0-149.171.126.12-28780-143-6,175.45.176.0,149.171.126.12,28780,143,6,DoS,True,-0.12774093142530718
59.166.0.6-149.171.126.4-64212-6881-6,59.166.0.6,149.171.126.4,64212,6881,6,Benign,True,-0.12730472137706028
175.45.176.3-149.171.126.13-27365-80-6,175.45.176.3,149.171.126.13,27365,80,6,Exploits,True,-0.12728007236972383
175.45.176.1-149.171.126.18-32669-80-6,175.45.176.1,149.171.126.18,32669,80,6,Generic,True,-0.12683204185161256
175.45.176.1-149.171.126.19-62545-25-6,175.45.176.1,149.171.126.19,62545,25,6,Generic,True,-0.12679075789568595
175.45.176.3-149.171.126.15-1043-53-17,175.45.176.3,149.171.126.15,1043,53,17,Generic,True,-0.12658812035399425
59.166.0.0-149.171.126.5-53874-6881-6,59.166.0.0,149.171.126.5,53874,6881,6,Benign,True,-0.12657882444664226
175.45.176.2-149.171.126.14-31480-25-6,175.45.176.2,149.171.126.14,31480,25,6,Exploits,True,-0.12626699237738137
59.166.0.3-149.171.126.2-47503-6881-6,59.166.0.3,149.171.126.2,47503,6881,6,Benign,True,-0.1261815850766802
175.45.176.3-149.171.126.12-64471-80-6,175.45.176.3,149.171.126.12,64471,80,6,Generic,True,-0.12600706067791811
175.45.176.1-149.171.126.17-32283-80-6,175.45.176.1,149.171.126.17,32283,80,6,Generic,True,-0.12576609489892754
175.45.176.3-149.171.126.18-47439-53-17,175.45.176.3,149.171.126.18,47439,53,17,Generic,True,-0.12472589951466218
175.45.176.1-149.171.126.18-1043-53-17,175.45.176.1,149.171.126.18,1043,53,17,Generic,True,-0.1239964044539108
59.166.0.9-149.171.126.3-59654-80-6,59.166.0.9,149.171.126.3,59654,80,6,Benign,True,-0.12381928330206482
175.45.176.0-149.171.126.10-61796-80-6,175.45.176.0,149.171.126.10,61796,80,6,Backdoor,True,-0.12351202218464452
175.45.176.3-149.171.126.18-59257-25-6,175.45.176.3,149.171.126.18,59257,25,6,Exploits,True,-0.12241200834657551
175.45.176.0-149.171.126.15-26006-80-6,175.45.176.0,149.171.126.15,26006,80,6,DoS,True,-0.1222130134752718
59.166.0.5-149.171.126.8-28607-6881-6,59.166.0.5,149.171.126.8,28607,6881,6,Benign,True,-0.12188195160271831
175.45.176.1-149.171.126.19-37976-80-6,175.45.176.1,149.171.126.19,37976,80,6,DoS,True,-0.12143354370723347
175.45.176.0-149.171.126.12-1043-53-17,175.45.176.0,149.171.126.12,1043,53,17,Generic,True,-0.12114146247062119
175.45.176.1-149.171.126.18-1043-53-17,175.45.176.1,149.171.126.18,1043,53,17,Generic,True,-0.12086075249319239
175.45.176.3-149.171.126.15-47439-53-17,175.45.176.3,149.171.126.15,47439,53,17,Generic,True,-0.1205690698311831
175.45.176.0-149.171.126.11-1732-80-6,175.45.176.0,149.171.126.11,1732,80,6,Generic,True,-0.1205642228131788
175.45.176.1-149.171.126.15-33317-25-6,175.45.176.1,149.171.126.15,33317,25,6,Exploits,True,-0.12010218000749318
175.45.176.3-149.171.126.16-60235-25-6,175.45.176.3,149.171.126.16,60235,25,6,Exploits,True,-0.11990152766164153
175.45.176.1-149.171.126.10-137-137-17,175.45.176.1,149.171.126.10,137,137,17,Fuzzers,True,-0.11982082125076443
175.45.176.1-149.171.126.18-47439-53-17,175.45.176.1,149.171.126.18,47439,53,17,Generic,True,-0.1194859929150014
175.45.176.2-149.171.126.19-63457-520-17,175.45.176.2,149.171.126.19,63457,520,17,Fuzzers,True,-0.11932735781694548
175.45.176.1-149.171.126.13-19104-520-17,175.45.176.1,149.171.126.13,19104,520,17,Fuzzers,True,-0.11930346174581419
175.45.176.3-149.171.126.15-8620-143-6,175.45.176.3,149.171.126.15,8620,143,6,Exploits,True,-0.11890930012577883
59.166.0.0-149.171.126.3-57654-6881-6,59.166.0.0,149.171.126.3,57654,6881,6,Benign,True,-0.11887806346443408
175.45.176.0-149.171.126.14-32084-80-6,175.45.176.0,149.171.126.14,32084,80,6,Generic,True,-0.11866503911776949
175.45.176.2-149.171.126.11-17791-548-6,175.45.176.2,149.171.126.11,17791,548,6,DoS,True,-0.11861954390982143
175.45.176.0-149.171.126.17-57687-80-6,175.45.176.0,149.171.126.17,57687,80,6,Exploits,True,-0.11797862482033694
175.45.176.1-149.171.126.18-47439-53-17,175.45.176.1,149.171.126.18,47439,53,17,Generic,True,-0.11772669586359019
175.45.176.1-149.171.126.18-1043-53-17,175.45.176.1,149.171.126.18,1043,53,17,Generic,True,-0.11762131424814704
175.45.176.0-149.171.126.13-61773-520-17,175.45.176.0,149.171.126.13,61773,520,17,Fuzzers,True,-0.11759223647144446
59.166.0.3-149.171.126.2-8264-6881-6,59.166.0.3,149.171.126.2,8264,6881,6,Benign,True,-0.11758242023834764
175.45.176.0-149.171.126.18-46739-25-6,175.45.176.0,149.171.126.18,46739,25,6,Generic,True,-0.11735045448459125
175.45.176.0-149.171.126.12-47439-53-17,175.45.176.0,149.171.126.12,47439,53,17,Generic,True,-0.11702802797289769
59.166.0.8-149.171.126.7-46812-6881-6,59.166.0.8,149.171.126.7,46812,6881,6,Benign,True,-0.11648584212343738
175.45.176.3-149.171.126.15-54691-25-6,175.45.176.3,149.171.126.15,54691,25,6,Exploits,True,-0.11613143575604845
59.166.0.3-149.171.126.3-8172-80-6,59.166.0.3,149.171.126.3,8172,80,6,Benign,True,-0.11581636657656058
175.45.176.0-149.171.126.17-63431-520-17,175.45.176.0,149.171.126.17,63431,520,17,Fuzzers,True,-0.1155808529609813
175.45.176.3-149.171.126.10-4540-80-6,175.45.176.3,149.171.126.10,4540,80,6,Generic,True,-0.11532262776421609
175.45.176.1-149.171.126.18-1043-53-17,175.45.176.1,149.171.126.18,1043,53,17,Generic,True,-0.11518471126165519
175.45.176.0-149.171.126.12-47439-53-17,175.45.176.0,149.171.126.12,47439,53,17,Generic,True,-0.11447930610182455
175.45.176.2-149.171.126.13-20908-520-17,175.45.176.2,149.171.126.13,20908,520,17,Fuzzers,True,-0.11429267722559755
175.45.176.1-149.171.126.12-12612-80-6,175.45.176.1,149.171.126.12,12612,80,6,Generic,True,-0.11426819495279261
175.45.176.0-149.171.126.10-47439-53-17,175.45.176.0,149.171.126.10,47439,53,17,Generic,True,-0.11356211425370122
59.166.0.9-149.171.126.2-30435-6881-6,59.166.0.9,149.171.126.2,30435,6881,6,Benign,True,-0.11338937453610287
175.45.176.0-149.171.126.12-54365-80-6,175.45.176.0,149.171.126.12,54365,80,6,Generic,True,-0.1133871818493768
175.45.176.2-149.171.126.18-31836-80-6,175.45.176.2,149.171.126.18,31836,80,6,Generic,True,-0.11317208134403234
175.45.176.2-149.171.126.15-10734-80-6,175.45.176.2,149.171.126.15,10734,80,6,Fuzzers,True,-0.11278485131430871
175.45.176.1-149.171.126.19-26781-80-6,175.45.176.1,149.171.126.19,26781,80,6,Generic,True,-0.11267620252023391
